"NUMBER","FWI","ISI","number_of_fire","Period","IA_Size","BH_Size","Status","Gap_BHIA","Fuel_type","Detection","Response_time","Month","Method","Gap_UCIA","Ex_Size","Gap","Growth","logIA_Size","logResp_time","sqlogIA_Size","sqlogResp_time","sqFWI","sqISI","logNumber_of_fire"
"E04034-2000",18,8,17,"AM",2.5,20,1,18.1666666666667,"C1","LKT",0.5,"6","Air",27,23.14,17.5,0,0.918288734536828,-0.683196849706777,0.843254199977249,0.466757935449265,324,64,2.83321334405622
"E04035-2000",14,6,17,"AM",0.4,99.17,1,40.25,"C2","LKT",0.166666666666667,"6","Air",89.75,99.17,98.77,0,-0.903868211875598,-1.76220066698651,0.816977744439191,3.1053511907277,196,36,2.83321334405622
"E04036-2000",12,6,17,"PM",2,2,1,5.3,"C1","LKT",1.31666666666667,"6","Air Tanker",14.9666666666667,2,0,1,0.695644060758532,0.278893566418701,0.483920659268621,0.0777816213897427,144,36,2.83321334405622
"E04044-2000",9,5,2,"PM",0.3,1,1,13.75,"C2","LKT",0.666666666666667,"6","Air",19.75,1,0.7,0,-1.18744350237473,-0.397993093269463,1.41002207133195,0.158398502290196,81,25,0.693147180559945
"E04045-2000",7,5,2,"PM",1.5,1.5,1,2.08333333333333,"C2","LKT",1,"6","Air Tanker",21.25,1.5,0,1,0.408792898200839,0.00498754151103897,0.167111633619442,2.48755703243369e-05,49,25,0.693147180559945
"E04050-2000",11,6,7,"PM",1,1,1,1.28333333333333,"C2","LKT",0.483333333333333,"6","Air",2.19999999996689,1,0,1,0.00498754151103897,-0.716757046199079,2.48755703243369e-05,0.513740663276029,121,36,1.94591014905531
"E04051-2000",12,6,36,"AM",0.2,0.2,1,0.516666666633553,"C2","AIR",0,"6","Other ground",0.93333333330022,0.2,0,1,-1.58474529984373,-5.29831736654804,2.51141766537679,28.0721669166645,144,36,3.58351893845611
"E04052-2000",11,5,36,"AM",3.5,4.2,1,16.4,"C2","LKT",0.366666666666667,"6","Other ground",23.75,4.2,0.7,0,1.25419052048655,-0.989757883756028,1.57299386167833,0.97962066845721,121,25,3.58351893845611
"E04053-2000",11,5,36,"AM",0.3,0.3,1,1.06666666666667,"M2","AIR",0.233333333333333,"6","Other ground",1.93333333333333,0.3,0,1,-1.18744350237473,-1.43408502495624,1.41002207133195,2.05659985880374,121,25,3.58351893845611
"E04054-2000",11,5,36,"AM",0.02,0.02,1,0.166666666666667,"C2","AIR",0.25,"6","Air",0.166666666666667,0.02,0,1,-3.68887945411394,-1.36649173382371,13.6078316269839,1.86729965860853,121,25,3.58351893845611
